rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
1,Bitcoin,BTC,"$5,125,963,514.89",$378.05,"13,559,050 BTC","$9,194,437.00",2.90%
2,XRP,XRP,"$346,223,397.22",$0.01121,"30,881,360,458 XRP","$2,857,345.00",30.08%
3,Litecoin,LTC,"$122,633,414.31",$3.5761,"34,292,594 LTC","$1,206,293.88",-0.18%
4,BitShares,BTS,"$47,475,323.74",$0.01901,"2,497,973,773 BTS","$509,740.69",14.56%
5,Dogecoin,DOGE,"$23,290,366.70",$0.0002421,"96,217,725,633 DOGE","$239,006.48",-4.88%
6,Nxt,NXT,"$19,224,491.02",$0.01922,"999,997,096 NXT","$19,747.19",1.18%
7,Peercoin,PPC,"$16,255,400.13",$0.742,"21,906,121 PPC","$21,638.82",1.29%
8,Counterparty,XCP,"$15,184,989.77",$5.7369,"2,646,903 XCP","$19,078.57",-16.10%
9,MaidSafeCoin,MAID,"$12,603,431.34",$0.02785,"452,552,412 MAID","$2,307.01",-7.38%
10,Dash,DASH,"$11,695,805.94",$2.3851,"4,903,621 DASH","$43,116.09",3.81%
11,Namecoin,NMC,"$9,468,341.87",$0.9109,"10,394,000 NMC","$12,833.39",2.81%
12,Stellar,XLM,"$7,829,158.50",$0.00221,"3,543,206,175 XLM","$61,161.59",4.85%
13,FuelCoin,FC2,"$5,676,462.32",$0.05671,"100,101,526 FC2","$9,656.42",49.76%
14,SuperNET,UNITY,"$3,112,489.64",$3.8140,"816,061 UNITY","$11,922.27",13.49%
15,NuShares,NSR,"$3,016,886.58",$0.004991,"604,515,318 NSR","$40,691.98",62.29%
16,Banx,BANX,"$2,933,630.74",$1.1340,"2,586,882 BANX","$20,549.98",10.23%
17,Monero,XMR,"$2,776,541.30",$0.5676,"4,892,138 XMR","$14,933.10",7.33%
18,BitcoinDark,BTCD,"$2,684,244.71",$2.2484,"1,193,870 BTCD","$3,502.96",30.60%
19,NuBits,USNBT,"$2,266,335.46",$1.0092,"2,245,631 USNBT","$5,881.67",0.89%
20,BlackCoin,BLK,"$2,055,106.24",$0.0275,"74,722,664 BLK","$16,984.65",0.16%
21,YbCoin,YBC,"$1,974,079.01",$0.658,"3,000,000 YBC","$35,567.33",-23.01%
22,Storjcoin X,SJCX,"$1,941,621.81",$0.04683,"41,464,404 SJCX","$1,700.79",222.47%
23,Feathercoin,FTC,"$1,602,330.44",$0.02564,"62,485,090 FTC","$4,436.77",-2.51%
24,Quark,QRK,"$1,213,870.35",$0.004886,"248,435,888 QRK","$2,990.06",0.79%
25,Nxttycoin,NXTTY,"$1,192,655.76",$0.001193,"1,000,000,000 NXTTY","$2,266.06",-33.80%
26,bitUSD,BITUSD,"$1,157,848.24",$1.0162,"1,139,401 BITUSD","$9,698.32",1.23%
27,Primecoin,XPM,"$1,112,077.93",$0.1374,"8,093,755 XPM","$2,126.99",-0.87%
28,ReddCoin,RDD,"$1,059,311.07",$0.00003887,"27,249,232,299 RDD","$1,357.92",2.17%
29,Pandacoin,PND,"$1,034,046.15",$0.00003199,"32,320,482,669 PND","$2,555.53",-7.80%
30,UltraCoin,UTC,"$944,257.91",$0.04114,"22,951,359 UTC","$21,127.20",31.62%
31,BitBay,BAY,"$866,581.80",$0.0008666,"1,000,034,989 BAY","$25,417.91",-16.85%
32,BitShares PTS,PTS,"$848,198.82",$0.4811,"1,763,152 PTS","$12,147.07",90.47%
33,Ixcoin,IXC,"$775,081.05",$0.03691,"20,999,906 IXC",$813.44,27.31%
34,Zetacoin,ZET,"$712,401.86",$0.004417,"161,270,079 ZET","$2,707.81",-12.14%
35,MonaCoin,MONA,"$661,927.26",$0.04543,"14,571,050 MONA","$2,183.70",-1.82%
36,Jinn,JINN,"$651,518.30",$6.5152,"100,000 JINN",$977.28,22.47%
37,jl777hodl,JLH,"$649,788.08",$0.06498,"10,000,000 JLH","$1,100.87",21.92%
38,ShadowCash,SDC,"$583,545.12",$0.0905,"6,447,870 SDC","$9,776.19",-19.35%
39,WorldCoin,WDC,"$543,989.36",$0.007928,"68,615,468 WDC","$1,475.16",5.41%
40,Novacoin,NVC,"$543,161.25",$0.6414,"846,792 NVC","$1,079.94",-8.31%
41,Vertcoin,VTC,"$516,601.82",$0.05138,"10,055,000 VTC","$5,912.07",5.77%
42,CannabisCoin,CANN,"$515,827.63",$0.007395,"69,752,665 CANN","$13,791.51",64.53%
43,Megacoin,MEC,"$514,715.04",$0.01954,"26,341,475 MEC",$856.24,-2.88%
44,DNotes,NOTE,"$461,622.51",$0.004922,"93,792,776 NOTE",$545.04,3.98%
45,Viacoin,VIA,"$459,831.08",$0.03721,"12,356,325 VIA","$1,463.02",-22.29%
46,NeoDICE,DICE,"$443,096.70",$0.4431,"1,000,000 DICE",$964.03,-12.98%
47,VeriCoin,VRC,"$422,753.60",$0.0157,"26,919,518 VRC","$1,454.24",5.04%
48,Uro,URO,"$413,846.54",$0.4113,"1,006,193 URO","$1,615.93",-5.74%
49,Privatebet,Privatebet,"$407,559.39",$1.0189,"400,000 Privatebet",$992.35,30.45%
50,BilShares,BILS,"$407,051.03",$0.0004071,"1,000,000,000 BILS","$7,429.33",12.72%
51,Mooncoin,MOON,"$396,423.42",$0.00000204,"194,278,755,647 MOON","$2,707.13",9.65%
52,Anoncoin,ANC,"$370,883.31",$0.26,"1,426,429 ANC","$7,952.79",-0.69%
53,DigitalNote,XDN,"$340,433.65",$0.00005062,"6,725,113,496 XDN","$16,720.29",-0.32%
54,TileCoin,XTC,"$317,559.48",$0.003176,"100,000,000 XTC","$4,501.91",28.49%
55,FreeMarket,MRKT,"$311,471.54",$0.4326,"720,000 MRKT",$764.38,-15.20%
56,Maxcoin,MAX,"$309,946.76",$0.008223,"37,694,635 MAX","$1,503.39",-13.07%
57,PotCoin,POT,"$306,382.18",$0.001838,"166,676,010 POT","$3,550.92",0.08%
58,Opal,OPAL,"$306,267.22",$0.02041,"15,007,857 OPAL","$43,430.02",651.57%
59,Bitmark,BTM,"$276,489.23",$0.299,"924,620 BTM","$1,053.95",-4.39%
60,Gulden,NLG,"$253,033.05",$0.001459,"173,393,701 NLG",$703.31,0.91%
61,Crypti,XCR,"$236,216.00",$0.002362,"100,000,000 XCR",$787.52,32.61%
62,Applecoin,APC,"$234,164.05",$0.01058,"22,125,750 APC","$1,604.07",8.21%
63,ARCHcoin,ARCH,"$229,854.22",$0.01416,"16,236,940 ARCH","$1,765.51",-23.05%
64,DigiByte,DGB,"$229,096.45",$0.00008033,"2,852,092,031 DGB","$9,129.46",68.60%
65,Bitswift,BITS,"$221,054.82",$0.0552,"4,004,890 BITS","$1,982.14",62.46%
66,Stealth,XST,"$204,844.36",$0.009606,"21,323,778 XST","$3,738.46",16.16%
67,Terracoin,TRC,"$195,757.81",$0.0296,"6,614,136 TRC","$1,862.66",11.96%
68,Hyper,HYPER,"$187,153.27",$0.05257,"3,560,251 HYPER",$687.11,-0.61%
69,MozzShare,MLS,"$185,293.35",$0.00289,"64,125,000 MLS","$1,375.85",2.25%
70,HyperStake,HYP,"$182,235.75",$0.003401,"53,576,500 HYP","$1,490.85",1.89%
71,Syscoin,SYS,"$177,021.85",$0.0004738,"373,634,483 SYS","$2,061.19",29.85%
72,ZcCoin,ZCC,"$155,397.26",$0.008955,"17,352,849 ZCC",$982.08,10.91%
73,Burst,BURST,"$140,231.76",$0.0004402,"318,578,694 BURST",$752.32,5.06%
74,NEMstake,NEM,"$134,879.09",$768.98,175 NEM,"$2,845.23",1.19%
75,World Trade Funds,XWT,"$121,843.74",$0.01348,"9,037,246 XWT",$781.15,-3.22%
76,Diamond,DMD,"$120,585.10",$0.169,"713,414 DMD",$525.00,1.21%
77,Bytecent,BYC,"$111,545.21",$0.4537,"245,878 BYC","$3,200.89",-24.03%
78,FedoraCoin,TIPS,"$107,902.05",$0.00000038,"280,846,322,360 TIPS",$763.38,-3.50%
79,Fibre,FIBRE,"$103,339.90",$0.1651,"625,851 FIBRE",$541.59,-7.14%
80,GlowShares,GSX,"$88,505.26",$0.266,"332,696 GSX","$5,540.06",14.30%
81,Horizon,HZ,"$84,076.74",$0.0002457,"342,150,140 HZ",$771.39,-20.86%
82,Startcoin,START,"$74,724.11",$0.01212,"6,165,260 START",$564.05,-27.37%
83,CAIx,CAIx,"$72,654.20",$0.0449,"1,618,027 CAIx","$3,424.44",60.79%
84,Auroracoin,AUR,"$69,116.90",$0.03306,"2,090,353 AUR","$2,702.08",-19.66%
85,CannaCoin,CCN,"$67,395.69",$0.01544,"4,364,401 CCN","$2,385.42",52.74%
86,Riecoin,RIC,"$66,573.09",$0.007947,"8,377,425 RIC",$776.09,26.22%
87,GAIA,GAIA,"$66,397.19",$0.002756,"24,092,197 GAIA","$1,598.60",34.04%
88,ApexCoin,APEX,"$62,238.75",$0.01022,"6,088,386 APEX","$11,898.62",14.92%
89,UnionCoin,UNC,"$61,462.65",$0.007327,"8,388,608 UNC",$627.78,-6.45%
90,MMNXT,MMNXT,"$58,247.35",$0.02884,"2,019,900 MMNXT",$524.86,6.13%
91,HTML5COIN,HTML5,"$57,661.48",$0.00000144,"40,123,565,000 HTML5","$1,117.01",-6.62%
92,bitCNY,BITCNY,"$57,233.81",$0.1659,"345,002 BITCNY","$4,432.52",1.18%
93,LitecoinDark,LTCD,"$54,935.25",$0.0006964,"78,885,315 LTCD","$1,093.78",-25.43%
94,Snowballs,BALLS,"$51,187.93",$0.002988,"17,128,555 BALLS","$3,699.36",-61.46%
95,HellasCoin,HLC,"$48,099.86",$0.004533,"10,611,550 HLC",$565.40,-18.04%
96,CryptCoin,CRYPT,"$39,842.53",$0.007001,"5,691,372 CRYPT","$2,615.87",95.22%
97,ProfitCoin,PFC,"$25,538.44",$0.6133,"41,642 PFC","$74,303.29",64.89%
98,DayTraderCoin,DTC,"$20,540.74",$0.01869,"1,098,812 DTC",$607.26,-64.43%
99,XCash,XCASH,"$19,092.20",$0.007815,"2,442,962 XCASH","$1,211.71",-17.31%
100,bitBTC,BITBTC,"$19,014.58",$382.79,50 BITBTC,"$1,904.75",4.60%
101,GameLeagueCoin,GML,"$17,026.25",$0.00003405,"500,000,000 GML","$2,374.45",-65.25%
102,Sterlingcoin,SLG,"$15,889.60",$0.005645,"2,814,947 SLG","$4,217.01",16.29%
103,Functioncoin,FCC,"$15,578.19",$0.01323,"1,177,680 FCC","$1,177.08",2.90%
104,LottoCoin,LOT,"$11,805.80",$0.00000081,"14,491,014,421 LOT",$607.37,-64.61%
105,MalibuCoin,MAL,"$7,679.96",$0.004877,"1,574,787 MAL","$1,965.51",--
106,GamerholicCoin,GHC,"$7,027.09",$0.0102,"688,950 GHC",$575.30,27.18%
107,Nanite,XNAN,"$6,587.52",$0.006616,"995,723 XNAN",$817.18,2.90%
108,ESportsCoin,ESC,"$3,469.36",$0.002654,"1,307,273 ESC","$4,200.24",188.76%
109,42-coin,42,"$1,660.84","$1,809.45",1 42,$909.98,-23.09%
110,Omni,OMNI,"$1,703,486.15",$3.0249,"563,162 OMNI",$493.48,5.73%
111,NXTventure,NXTV,"$1,612,935.54",$1.6129,"1,000,000 NXTV",$220.97,-3.93%
112,Swarm,SWARM,"$1,285,359.82",$0.01285,"100,000,000 SWARM",$57.66,-36.48%
113,InstantDEX,DEX,"$1,268,816.95",$1.2688,"1,000,000 DEX",$418.71,33.55%
114,Bytecoin,BCN,"$1,236,440.60",$0.00000744,"166,158,821,405 BCN",$173.72,-11.66%
115,XCurrency,XC,"$731,533.78",$0.1315,"5,561,224 XC",$346.03,14.19%
116,NXTprivacy,NXTprivacy,"$730,530.98",$0.7305,"1,000,000 NXTprivacy",$146.84,51.98%
117,sharkfund0,SF0,"$692,149.91",$519.06,"1,333 SF0",$124.06,--
118,Gridcoin Classic,GRCX,"$580,036.46",$0.01749,"33,166,990 GRCX",$139.85,13.41%
119,Tradebots,NXTcoinsco,"$567,218.49",$0.5729,"990,100 NXTcoinsco",$5.7289,49.25%
120,Unobtanium,UNO,"$545,294.06",$2.8324,"192,523 UNO",$190.58,12.39%
121,Ethercoin,ETC,"$493,638.66",$0.4936,"1,000,000 ETC",$1.6605,-22.57%
122,ltc2nXt,LTC2NXT,"$445,038.51",$0.4806,"925,982 LTC2NXT",$1.9224,-6.69%
123,Infinitecoin,IFC,"$408,360.69",$0.00000451,"90,595,776,065 IFC",$284.81,1.30%
124,FairCoin,FAIR,"$385,528.76",$0.007561,"50,989,528 FAIR",$0.6049,--
125,Coinomat,CNMT,"$366,630.43",$0.1222,"3,000,000 CNMT",$21.39,-1.98%
126,Node,NODE,"$275,974.31",$0.000276,"1,000,000,000 NODE",$239.87,-7.77%
127,FIMKrypto,FIMK,"$269,440.12",$0.0006678,"403,492,798 FIMK",$49.49,13.53%
128,Marinecoin,MTC,"$262,251.80",$0.03592,"7,301,353 MTC",$41.85,-42.50%
129,Curecoin,CURE,"$253,210.56",$0.01007,"25,146,767 CURE",$56.20,58.65%
130,Qora,QORA,"$250,437.86",$0.00002504,"10,000,000,000 QORA",$96.38,-26.80%
131,GoldCoin,GLC,"$245,677.68",$0.007378,"33,300,894 GLC",$282.55,7.74%
132,Dogeparty,XDP,"$244,905.53",$0.09138,"2,680,033 XDP",$165.88,-6.85%
133,SolarCoin,SLR,"$230,779.33",$0.006878,"33,554,671 SLR",$157.87,-1.00%
134,MintCoin,MINT,"$230,336.17",$0.00001133,"20,325,620,637 MINT",$19.64,53.21%
135,ATOMIC,ATOMIC,"$228,675.43",$0.3749,"610,000 ATOMIC",$140.24,-14.26%
136,Devcoin,DVC,"$226,257.05",$0.00002761,"8,193,970,000 DVC",$170.52,-7.70%
137,Digitalcoin,DGC,"$184,686.16",$0.01035,"17,836,528 DGC",$420.21,-8.66%
138,Librexcoin,LXC,"$182,048.18",$0.01867,"9,751,376 LXC",$186.71,-11.75%
139,NautilusCoin,NAUT,"$175,368.70",$0.03312,"5,295,631 NAUT",$496.25,12.92%
140,Boolberry,BBR,"$169,206.94",$0.07368,"2,296,437 BBR",$423.99,-1.85%
141,FoldingCoin,FLDC,"$143,479.61",$0.0001435,"1,000,000,000 FLDC",$0.2868,-16.06%
142,HoboNickels,HBN,"$142,507.97",$0.0189,"7,540,693 HBN",$370.93,-5.54%
143,I0Coin,I0C,"$134,839.42",$0.006582,"20,487,149 I0C",$1.2164,51.60%
144,MGW,MGW,"$128,611.91",$0.1286,"1,000,000 MGW",$27.01,15.91%
145,Chancecoin,CHA,"$126,926.96",$0.2457,"516,513 CHA",$363.97,2.89%
146,BoostCoin,BOST,"$122,118.59",$0.01042,"11,723,711 BOST",$332.73,-2.44%
147,ClearingHouse,XCH,"$119,025.33",$0.001147,"103,809,297 XCH",$9.2337,-0.40%
148,WhiteCoin,XWC,"$118,264.30",$0.0003891,"303,935,386 XWC",$99.71,31.71%
149,Pesetacoin,PTC,"$117,900.88",$0.001516,"77,772,643 PTC",$465.79,-37.46%
150,Sync,SYNC,"$113,672.60",$97.05,"1,171 SYNC",$66.24,-23.52%
151,Copperlark,CLR,"$110,354.90",$0.01165,"9,475,099 CLR",$6.4625,-15.64%
152,Pinkcoin,PINK,"$101,819.72",$0.0002795,"364,253,425 PINK",$328.14,33.15%
153,NetCoin,NET,"$98,941.13",$0.0003052,"324,169,332 NET",$168.87,4.91%
154,HRNXTPool,HRNXT,"$98,044.95",$0.9804,"100,000 HRNXT",$40.20,-24.11%
155,Dorcs,DORCS,"$97,081.59",$0.2499,"388,453 DORCS",$3.7488,27.71%
156,Freicoin,FRC,"$96,206.24",$0.002093,"45,962,594 FRC",$136.41,-2.82%
157,Karmacoin,KARMA,"$93,813.71",$0.00000146,"64,056,004,065 KARMA",$45.59,-0.19%
158,NobleCoin,NOBL,"$88,160.94",$0.0000378,"2,332,010,000 NOBL",$442.73,3.57%
159,JackpotCoin,JPC,"$86,174.80",$0.00001512,"5,698,682,708 JPC",$99.60,-20.50%
160,Deutsche eMark,DEM,"$83,864.02",$0.005671,"14,788,995 DEM",$99.34,-7.48%
161,NavCoin,NAV,"$82,640.88",$0.001434,"57,619,293 NAV",$77.47,22.55%
162,CzechCrownCoin,CZC,"$79,841.56",$0.02011,"3,970,400 CZC",$30.19,-27.72%
163,Bullion,CBX,"$79,018.40",$0.08264,"956,160 CBX",$28.97,15.14%
164,Tickets,TIX,"$78,399.53",$0.00000117,"66,876,281,414 TIX",$26.04,4.94%
165,VPNCoin,VASH,"$77,149.14",$0.0001928,"400,142,885 VASH",$313.67,1.88%
166,Cinni,CINNI,"$74,716.96",$0.004949,"15,098,105 CINNI",$5.0329,122.19%
167,Bottlecaps,CAP,"$72,108.02",$0.008699,"8,289,363 CAP",$24.50,-3.89%
168,Zeitcoin,ZEIT,"$71,864.77",$0.00000249,"28,829,093,707 ZEIT",$66.10,45.41%
169,ArtByte,ABY,"$71,161.89",$0.0001909,"372,830,450 ABY",$59.71,0.77%
170,Bitstar,BITS,"$69,238.02",$0.004162,"16,634,568 BITS",$68.90,-5.73%
171,Clams,CLAM,"$66,512.60",$0.2922,"227,656 CLAM",$224.92,-27.02%
172,USDe,USDE,"$65,078.27",$0.00006805,"956,351,793 USDE",$40.99,-12.66%
173,TagCoin,TAG,"$63,945.01",$0.02933,"2,180,220 TAG",$295.57,0.48%
174,FlutterCoin,FLT,"$63,658.61",$0.0002849,"223,461,528 FLT",$291.27,-8.45%
175,TEKcoin,TEK,"$61,483.92",$0.01604,"3,833,039 TEK",$474.27,-34.80%
176,AeroMe,AM,"$60,183.29",$0.008435,"7,134,908 AM",$43.30,40.22%
177,Myriad,XMY,"$59,764.49",$0.00009548,"625,915,000 XMY",$195.85,-3.65%
178,Rubycoin,RBY,"$59,225.14",$0.002701,"21,929,675 RBY",$76.38,4.63%
179,Viorcoin,VIOR,"$55,413.02",$0.01214,"4,566,264 VIOR",$17.46,-16.64%
180,SuperCoin,SUPER,"$55,299.66",$0.002749,"20,119,725 SUPER",$105.74,83.43%
181,Checkcoin,CKC,"$53,176.75",$0.003559,"14,942,680 CKC",$248.63,10.38%
182,SaffronCoin,SFR,"$50,670.52",$0.003062,"16,547,200 SFR",$226.98,0.16%
183,NXTInspect,NXTI,"$50,468.15",$0.06729,"750,057 NXTI",$9.6219,13.88%
184,Aricoin,ARI,"$48,980.07",$0.0004234,"115,679,289 ARI",$43.60,-11.34%
185,AsiaCoin,AC,"$48,069.57",$0.0002508,"191,654,469 AC",$7.4463,-11.55%
186,Boomcoin,BOOM,"$47,321.51",$0.004159,"11,379,420 BOOM",$343.65,27.25%
187,Colossuscoin,COL,"$44,757.78",$0.00000014,"312,889,440,517 COL",$17.91,-22.99%
188,Uniform Fiscal Object,UFO,"$43,646.14",$0.00002849,"1,532,248,762 UFO",$281.20,24.62%
189,LTBcoin,LTBC,"$41,952.01",$0.0002224,"188,602,254 LTBC",$7.9643,18.97%
190,I/O Coin,IOC,"$41,522.78",$0.002573,"16,136,623 IOC",$223.68,-41.57%
191,CleanWaterCoin,WATER,"$41,404.51",$0.00007561,"547,610,553 WATER",$0.378,-5.16%
192,Cryptonite,XCN,"$41,364.44",$0.0009394,"44,031,096 XCN",$271.54,73.71%
193,Einsteinium,EMC2,"$41,110.10",$0.0002651,"155,056,776 EMC2",$48.72,-2.50%
194,BBQCoin,BQC,"$40,381.46",$0.001101,"36,688,462 BQC",$27.26,0.52%
195,Sonic,SSD,"$40,193.30",$0.001865,"21,545,766 SSD",$59.02,16.57%
196,Magi,XMG,"$39,655.16",$0.02303,"1,722,111 XMG",$347.70,2.02%
197,Guarany,GUA,"$39,388.45",$0.3617,"108,896 GUA",$191.06,-23.54%
198,SecureCoin,SRC,"$38,889.02",$0.01714,"2,268,625 SRC",$428.31,-1.15%
199,Munne,MNE,"$38,008.08",$0.007936,"4,789,196 MNE",$148.45,5.46%
200,Nas,NAS,"$37,804.70",$0.00000378,"10,000,000,000 NAS",$31.68,2.90%
201,Virtacoin,VTA,"$37,186.21",$0.00000378,"9,836,397,997 VTA",$282.38,-25.03%
202,Quicksilver,QSLV,"$37,139.30",$0.01077,"3,447,014 QSLV",$330.68,17.30%
203,CloakCoin,CLOAK,"$36,718.29",$0.008088,"4,539,732 CLOAK",$192.15,-23.67%
204,Kore,KORE,"$36,185.23",$0.02078,"1,741,561 KORE",$209.73,4.32%
205,Vidio,VDO,"$35,945.49",$0.001737,"20,699,365 VDO",$135.66,43.65%
206,Memorycoin,MMC,"$35,773.84",$0.003855,"9,279,940 MMC",$74.50,3.17%
207,ExclusiveCoin,EXCL,"$35,545.39",$0.00465,"7,644,524 EXCL",$452.36,20.19%
208,e-Gulden,EFL,"$34,894.39",$0.006521,"5,351,088 EFL",$181.99,18.30%
209,Yacoin,YAC,"$34,543.72",$0.001183,"29,211,692 YAC",$90.21,8.02%
210,Qibuck,QBK,"$34,421.70",$0.06804,"505,881 QBK",$97.33,8.28%
211,MAZA,MAZA,"$34,060.53",$0.00005671,"600,640,100 MAZA",$35.37,0.17%
212,TeslaCoin,TES,"$33,873.00",$0.0005594,"60,552,166 TES",$332.41,36.03%
213,Quatloo,QTL,"$33,681.72",$0.014,"2,406,251 QTL",$494.24,-15.35%
214,Ringo,RIN,"$32,927.24",$0.000361,"91,207,902 RIN",$7.1948,-17.44%
215,EarthCoin,EAC,"$32,766.98",$0.0000059,"5,555,736,958 EAC",$251.90,-21.57%
216,Dimecoin,DIME,"$32,139.78",$0.00000011,"299,580,260,352 DIME",$250.87,3.15%
217,DopeCoin,DOPE,"$31,746.35",$0.0002419,"131,210,344 DOPE",$73.16,-11.61%
218,Luckycoin,LKY,"$31,242.86",$0.00171,"18,274,669 LKY",$0.08608,1.64%
219,Sexcoin,SXC,"$30,237.63",$0.0003515,"86,018,201 SXC",$41.89,-5.38%
220,BattleCoin,BCX,"$27,469.88",$0.0004537,"60,552,166 BCX",$2.9641,-4.28%
221,OctoCoin,888,"$27,440.36",$0.0007826,"35,064,991 888",$45.83,2.90%
222,BlueCoin,BLU,"$27,309.80",$0.00004973,"549,155,372 BLU",$69.54,-3.34%
223,Particle,PRT,"$27,011.72",$0.0000378,"714,506,932 PRT",$5.7236,-21.93%
224,MultiWalletCoin,MWC,"$26,371.16",$0.0009679,"27,244,488 MWC",$178.36,-1.69%
225,BitBar,BTB,"$25,765.86",$1.7196,"14,983 BTB",$60.24,4.38%
226,SeedCoin,SEED,"$25,359.51",$0.008514,"2,978,699 SEED",$102.83,132.88%
227,Quebecoin,QBC,"$25,120.85",$0.001093,"22,992,734 QBC",$6.5963,--
228,DarkCash,DRKC,"$24,569.13",$0.005957,"4,124,268 DRKC",$86.85,58.26%
229,Donu,DONU,"$24,341.32",$0.008384,"2,903,450 DONU",$126.45,11.77%
230,Orbitcoin,ORB,"$23,069.35",$0.01307,"1,765,644 ORB",$13.50,-25.68%
231,Razor,RZR,"$22,506.84",$0.01125,"1,999,895 RZR",$1.8522,12.30%
232,Mineralscoin,MIN,"$22,461.86",$0.0008308,"27,035,439 MIN",$32.90,3.85%
233,ECC,ECC,"$22,445.48",$0.00000132,"16,963,625,470 ECC",$5.9681,-33.08%
234,Murraycoin,MRY,"$22,357.79",$0.0007674,"29,133,118 MRY",$26.90,-1.76%
235,KeyCoin,KEY,"$22,181.97",$0.02419,"917,121 KEY",$204.69,-8.40%
236,HempCoin,THC,"$22,145.30",$0.0001625,"136,297,445 THC",$40.58,18.69%
237,Scotcoin,SCOT,"$22,045.03",$0.00002756,"800,001,844 SCOT",$293.54,-42.20%
238,SpreadCoin,SPR,"$22,018.71",$0.01887,"1,166,967 SPR",$11.02,98.89%
239,Quotient,XQN,"$21,576.15",$0.009636,"2,239,022 XQN",$425.57,-57.91%
240,CommunityCoin,COMM,"$21,409.02",$0.00002025,"1,057,344,896 COMM",$32.18,-5.06%
241,Fastcoin,FST,"$20,940.80",$0.000208,"100,656,187 FST",$46.64,9.79%
242,Philosopher Stones,PHS,"$20,345.50",$0.008771,"2,319,715 PHS",$7.1479,-32.85%
243,ROXcoin,ROX,"$20,210.34",$0.003402,"5,939,986 ROX",$1.6445,-2.52%
244,GrandCoin,GDC,"$19,992.00",$0.00004917,"406,548,474 GDC",$1.2147,-9.10%
245,Titcoin,TIT,"$19,871.23",$0.002173,"9,142,828 TIT",$287.70,-3.48%
246,OrangeCoin,OC,"$19,648.46",$0.0003705,"53,034,286 OC",$0.4263,26.31%
247,FLO,FLO,"$19,274.94",$0.0002358,"81,740,200 FLO",$87.05,-8.91%
248,GrowthCoin,GRW,"$19,179.68",$0.0005104,"37,580,427 GRW",$3.6848,-10.81%
249,ContinuumCoin,CTM,"$18,997.27",$0.00000021,"88,538,349,156 CTM",$0.9389,-14.44%
250,CHCCoin,CHCC,"$18,994.20",$0.0006109,"31,094,206 CHCC",$0.5971,44.87%
251,WankCoin,WKC,"$18,973.62",$0.00585,"3,243,450 WKC",$48.02,-65.58%
252,NFDCoin,NFD,"$18,902.35",$0.00000378,"5,000,000,000 NFD",$63.42,-48.55%
253,Dirac,XDQ,"$18,837.42",$0.04709,"400,066 XDQ",$42.09,494.29%
254,Energycoin,ENRG,"$18,815.77",$0.0001663,"113,115,882 ENRG",$71.67,44.34%
255,MaryJane,MARYJ,"$18,775.44",$0.001225,"15,326,115 MARYJ",$12.18,8.68%
256,MediterraneanCoin,MED,"$18,452.78",$0.0005992,"30,794,857 MED",$27.25,-11.07%
257,Neutrino,NTR,"$18,307.06",$0.00008695,"210,545,045 NTR",$0.9338,-37.72%
